PC,feature,loading,type
PC1,spectral_rolloff_median_0,-0.5467052603353506,best
PC2,spectral_centroid_max_0,-0.6204130240195171,best
PC3,spectral_centroid_max_0,-0.5470994639725999,best
PC4,spectral_rolloff_max_0,-0.7285445515058658,best
PC3,chroma_stft_kew_0,-0.00013748382725871616,weak
PC4,chroma_stft_min_0,-5.613067050195396e-06,weak
PC3,chroma_stft_max_0,-1.4809475157666548e-07,weak
PC2,chroma_stft_std_0,-8.788088624897012e-06,weak
PC3,chroma_stft_mean_0,3.071588334472866e-05,weak
PC3,chroma_stft_median_0,4.074527267037391e-05,weak
PC3,chroma_stft_kurtosis_0,-0.000273000058055158,weak
PC3,chroma_stft_kew_1,-0.00015693249288363536,weak
PC3,chroma_stft_min_1,4.801983493463044e-06,weak
PC4,chroma_stft_max_1,-2.3258107892898618e-06,weak
PC4,chroma_stft_std_1,9.420097082365118e-06,weak
PC3,chroma_stft_mean_1,2.8972447383417e-05,weak
PC3,chroma_stft_median_1,3.849788461018349e-05,weak
PC3,chroma_stft_kurtosis_1,-0.0003501113090214254,weak
PC3,chroma_stft_kew_2,-0.00016459975626332069,weak
PC3,chroma_stft_min_2,5.03450600992823e-06,weak
PC3,chroma_stft_max_2,-5.016181297331473e-07,weak
PC4,chroma_stft_std_2,9.306539999422055e-06,weak
PC3,chroma_stft_mean_2,3.172124485715483e-05,weak
PC3,chroma_stft_median_2,4.6367339283585925e-05,weak
PC3,chroma_stft_kurtosis_2,-0.0002787341389871423,weak
PC3,chroma_stft_kew_3,-0.0002082529181305493,weak
PC3,chroma_stft_min_3,5.395165093943333e-06,weak
PC4,chroma_stft_max_3,-3.2253786515423067e-06,weak
PC2,chroma_stft_std_3,-7.1788076834206186e-06,weak
PC3,chroma_stft_mean_3,4.402476793313032e-05,weak
PC3,chroma_stft_median_3,5.320093708037386e-05,weak
PC3,chroma_stft_kurtosis_3,-0.000420981604539958,weak
PC3,chroma_stft_kew_4,-0.000183924157937419,weak
PC3,chroma_stft_min_4,5.461345854735605e-06,weak
PC4,chroma_stft_max_4,5.746134321541898e-07,weak
PC4,chroma_stft_std_4,1.0128817615582502e-05,weak
PC3,chroma_stft_mean_4,3.832674749053247e-05,weak
PC3,chroma_stft_median_4,5.253668418749817e-05,weak
PC3,chroma_stft_kurtosis_4,-0.00029736006707196223,weak
PC3,chroma_stft_kew_5,-0.00021789933855548976,weak
PC3,chroma_stft_min_5,4.697396133099103e-06,weak
PC4,chroma_stft_max_5,-1.5459702037909544e-06,weak
PC2,chroma_stft_std_5,-6.991417601296158e-06,weak
PC3,chroma_stft_mean_5,4.394295380042757e-05,weak
PC3,chroma_stft_median_5,5.5935396240053205e-05,weak
PC3,chroma_stft_kurtosis_5,-0.00047057297852237716,weak
PC3,chroma_stft_kew_6,-0.00017051027471359453,weak
PC3,chroma_stft_min_6,4.699606664471177e-06,weak
PC4,chroma_stft_max_6,-1.1792199388711996e-06,weak
PC4,chroma_stft_std_6,6.041519059025268e-06,weak
PC3,chroma_stft_mean_6,3.381810693536504e-05,weak
PC3,chroma_stft_median_6,4.5302424133038783e-05,weak
PC3,chroma_stft_kurtosis_6,-0.00034567977646056256,weak
PC3,chroma_stft_kew_7,-0.00015541166700053756,weak
PC4,chroma_stft_min_7,-5.742654494261873e-06,weak
PC2,chroma_stft_max_7,-5.307072691288488e-07,weak
PC3,chroma_stft_std_7,-6.699845233128594e-06,weak
PC3,chroma_stft_mean_7,2.9771229084940918e-05,weak
PC3,chroma_stft_median_7,4.612163363688001e-05,weak
PC3,chroma_stft_kurtosis_7,-0.00023521305898532488,weak
PC3,chroma_stft_kew_8,-0.00018021174645362076,weak
PC4,chroma_stft_min_8,-5.525737792122944e-06,weak
PC4,chroma_stft_max_8,-8.151064845930885e-06,weak
PC2,chroma_stft_std_8,-4.041928232113155e-06,weak
PC3,chroma_stft_mean_8,3.9444133804547436e-05,weak
PC3,chroma_stft_median_8,5.066833405077612e-05,weak
PC3,chroma_stft_kurtosis_8,-0.00034835159981360097,weak
PC3,chroma_stft_kew_9,-0.0001692871087087061,weak
PC3,chroma_stft_min_9,6.061749753031366e-06,weak
PC3,chroma_stft_max_9,5.300470540108883e-08,weak
PC4,chroma_stft_std_9,6.465984011371085e-06,weak
PC3,chroma_stft_mean_9,3.695940473561504e-05,weak
PC3,chroma_stft_median_9,5.201846436443124e-05,weak
PC3,chroma_stft_kurtosis_9,-0.0002649571335065602,weak
PC3,chroma_stft_kew_10,-0.0002537113549171542,weak
PC4,chroma_stft_min_10,-7.265241543654293e-06,weak
PC4,chroma_stft_max_10,-7.094196901939694e-06,weak
PC2,chroma_stft_std_10,-5.6461957708078805e-06,weak
PC3,chroma_stft_mean_10,4.625353980641947e-05,weak
PC3,chroma_stft_median_10,5.980076245436337e-05,weak
PC3,chroma_stft_kurtosis_10,-0.0005484960397287769,weak
PC3,chroma_stft_kew_11,-0.0001662937817860884,weak
PC4,chroma_stft_min_11,-6.184089011426178e-06,weak
PC3,chroma_stft_max_11,-3.471237282461351e-07,weak
PC4,chroma_stft_std_11,9.036866788897371e-06,weak
PC3,chroma_stft_mean_11,3.49407789405468e-05,weak
PC3,chroma_stft_median_11,4.953365376014586e-05,weak
PC3,chroma_stft_kurtosis_11,-0.00024074438087884375,weak
PC4,chroma_cqt_kew_0,7.449469497584258e-05,weak
PC1,chroma_cqt_min_0,-7.973514013673649e-06,weak
PC4,chroma_cqt_max_0,2.5200086181763653e-05,weak
PC4,chroma_cqt_std_0,6.9452672754244205e-06,weak
PC1,chroma_cqt_mean_0,-9.992039953269226e-06,weak
PC1,chroma_cqt_median_0,-1.1235899192762436e-05,weak
PC4,chroma_cqt_kurtosis_0,0.00021446406780462326,weak
PC3,chroma_cqt_kew_1,-9.172781982522105e-05,weak
PC2,chroma_cqt_min_1,1.0002683977752942e-05,weak
PC4,chroma_cqt_max_1,2.0088416561947593e-05,weak
PC2,chroma_cqt_std_1,-9.612960357253776e-06,weak
PC4,chroma_cqt_mean_1,1.4923901578230373e-05,weak
PC4,chroma_cqt_median_1,1.8914318084129263e-05,weak
PC4,chroma_cqt_kurtosis_1,0.000372359441717185,weak
PC3,chroma_cqt_kew_2,-7.374664389063128e-05,weak
PC1,chroma_cqt_min_2,-9.730581353297079e-06,weak
PC4,chroma_cqt_max_2,1.284919462462636e-05,weak
PC4,chroma_cqt_std_2,1.2492845767192817e-05,weak
PC4,chroma_cqt_mean_2,1.885517638728778e-05,weak
PC1,chroma_cqt_median_2,-1.7787497556151212e-05,weak
PC4,chroma_cqt_kurtosis_2,-0.0002636825120411756,weak
PC3,chroma_cqt_kew_3,-0.00011675054086338395,weak
PC4,chroma_cqt_min_3,-9.813115176490067e-06,weak
PC2,chroma_cqt_max_3,-1.3905401044732593e-05,weak
